config,N,subsample_seed,ours_mae,ours_std,idw_mae,idw_std
krig,6,0,4.354,1.021,3.960,1.343
krig,6,1,5.570,2.398,4.553,1.485
krig,6,2,5.060,1.571,4.097,1.387
krig,8,0,6.120,1.398,5.692,1.273
krig,8,1,5.002,1.300,4.724,0.891
krig,8,2,5.665,1.735,4.949,1.982
krig,10,0,4.605,0.658,3.222,0.337
krig,10,1,6.187,1.512,4.042,0.868
krig,10,2,4.794,1.000,3.811,0.482
krig,12,0,3.140,0.742,2.797,0.321
krig,12,1,3.304,0.655,3.064,0.325
krig,12,2,3.758,0.713,3.714,0.773
krig,14,0,3.407,0.549,3.266,0.509
krig,14,1,3.851,1.548,3.421,1.327
krig,14,2,4.406,1.034,3.390,0.552
krig,16,0,3.981,1.101,3.614,0.740
krig,16,1,4.072,0.886,3.624,0.768
krig,16,2,3.459,0.634,3.139,0.471
krig,18,0,,,,
krig,18,1,,,,
