node,station_id,pm25_in,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7
0,120859,1.3,0.87703866,0.6467878,0.87491727,0.34609222,0.37208775,0.45919457,0.32695422,0.5908761
1,121721,1.4,0.9996625,0.9213838,0.9996345,0.06986967,0.1063118,0.3394907,0.050330464,0.8169129
2,124223,1568.1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.3867087e-33
3,124291,0.0,1.0,1.0,1.0,3.7688974e-37,1.1079637e-30,4.3180157e-10,0.0,1.0
4,125725,2.7,0.9510497,0.7137162,0.9496585,0.27672127,0.3121336,0.43855664,0.25157243,0.6353123
5,128465,0.0,0.9990539,0.89508414,0.9989862,0.09494325,0.1353671,0.35900208,0.07185569,0.78627604
6,129117,0.3,0.93373793,0.6930902,0.9320924,0.29801476,0.33078864,0.4451518,0.27443948,0.6212796
7,129243,16.3,0.047276963,0.28399035,0.048639763,0.72564095,0.68995214,0.5621923,0.75094754,0.3631051
8,129263,0.0,0.98998135,0.8044453,0.9895182,0.18429475,0.22734632,0.40553683,0.1560456,0.7025323
9,129281,0.0,1.0,1.0,1.0,1.0742032e-37,3.9463786e-31,3.1270012e-10,0.0,1.0
10,129587,0.1,0.9995943,0.91717887,0.9995615,0.073844515,0.11106047,0.34293592,0.053663854,0.8117055
11,129637,0.0,0.9983557,0.87797004,0.99824774,0.11150255,0.15356493,0.36967385,0.08665786,0.76835996
12,129735,1.1,0.9712792,0.7472797,0.9702867,0.24227054,0.28134966,0.42722824,0.21519075,0.6589843
13,130313,2.3,0.97648835,0.75904036,0.97562283,0.23026507,0.27041796,0.42304704,0.20271264,0.6675701
14,130329,0.4,0.99967253,0.92205507,0.99964535,0.069236375,0.10554958,0.33892682,0.049802344,0.81775695
15,131279,0.5,0.9996377,0.91978896,0.9996081,0.071375586,0.10811796,0.3408148,0.051589593,0.814922
16,131967,1.4,0.87695366,0.6467324,0.8748318,0.34615,0.3721368,0.45921087,0.32701793,0.5908404
17,133131,42.9,2.1499009e-05,0.035254136,2.3922597e-05,0.9701297,0.9459598,0.709894,0.9811007,0.118070036
18,133319,1.4,1.0,1.0,1.0,0.0,0.0,2.356519e-22,0.0,1.0
19,144040,0.0,0.9986193,0.8836258,0.99852604,0.10601106,0.14760469,0.36628556,0.08170196,0.7741354
20,146510,6.1,0.6410382,0.54451925,0.63971084,0.45318958,0.4614659,0.48793185,0.44692686,0.5270967
21,147456,0.0,0.9511575,0.71386206,0.9497682,0.27657104,0.31200105,0.43850914,0.25141203,0.6354128
22,175953,0.0,0.99916434,0.89862233,0.99910337,0.091542184,0.1315411,0.35662532,0.06886997,0.7901558
23,180637,0.0,0.8365062,0.6230829,0.8342751,0.3708269,0.39298376,0.46607128,0.35436514,0.5757694
24,65669,5.7,1.0,1.0,1.0,8.562829e-37,2.175868e-30,5.332312e-10,0.0,1.0
25,92321,5.9,1.0,1.0,1.0,1.3213456e-33,9.116378e-28,3.5210113e-09,4.906593e-38,1.0
